id,regionname,countryname,prodline,lendinginstr,productlinetype,status,project_name,boardapprovaldate,totalamt,countryname2
P168940,Africa,Republic of Mozambique,PE,Investment Project Financing,L,Active,Additional Financing to the Agriculture and Natural Resources  Landscape Management Project (SUSTENTA),2019,60000000,Mozambique
P166539,Africa,Republic of Ghana,PE,Investment Project Financing,L,Active,Ghana Economic Transformation Project,2019,200000000,Ghana
P164932,Africa,Republic of Liberia,PE,Investment Project Financing,L,Active,Improving Results in Secondary Education (IRISE),2019,47000000,Liberia
P164704,South Asia,Islamic Republic of Pakistan,PE,Investment Project Financing,L,Active,Karachi Water and Sewerage Services Improvement Project (KWSSIP),2019,40000000,Pakistan
P166732,South Asia,Islamic Republic of Pakistan,PE,Investment Project Financing,L,Active,Karachi Mobility Project,2019,382000000,Pakistan
P169907,South Asia,Republic of India,PE,Development Policy Lending,L,Active,The First Resilient Kerala Program Development Policy Operation,2019,250000000,India
P163562,South Asia,Islamic Republic of Pakistan,PE,Investment Project Financing,L,Active,Khyber Pakhtunkhwa Integrated Tourism Development Project,2019,70000000,Pakistan
P168385,Latin America and Caribbean,Republic of Honduras,PE,Investment Project Financing,L,Active,Integrating Innovation for Rural Competitiveness in Honduras - COMRURAL II,2019,75000000,Honduras
P170469,Latin America and Caribbean,Republic of Honduras,PE,Investment Project Financing,L,Active,TEGUCIGALPA: WATER SUPPLY STRENGTHENING PROJECT,2019,50000000,Honduras
P161402,South Asia,Islamic Republic of Pakistan,PE,Investment Project Financing,L,Active,Competitive and Livable City of Karachi Project,2019,230000000,Pakistan
P168076,East Asia and Pacific,Republic of Indonesia,PE,Investment Project Financing,L,Active,Realizing  Education's  Promise:  Support to Indonesia's Ministry of Religious Affairs for Improved Quality of Education,2019,250000000,Indonesia
P165543,East Asia and Pacific,Republic of Indonesia,PE,Investment Project Financing,L,Active,Institutional Strengthening for Improved Village Service Delivery,2019,300000000,Indonesia
P164242,Africa,Republic of Mali,PE,Investment Project Financing,L,Active,Mali Governance of Mining Sector,2019,40000000,Mali
P166796,Africa,Republic of Mali,PE,Investment Project Financing,L,Active,Mali Electricity Sector  Improvement Project (MESIP),2019,150000000,Mali
P163474,South Asia,Islamic Republic of Pakistan,PE,Investment Project Financing,L,Active,Khyber Pakhtunkhwa Irrigated-Agriculture Improvement Project,2019,171000000,Pakistan
P164331,Africa,Republic of Malawi,PE,Investment Project Financing,L,Active,Malawi - Electricity Access Project,2019,150000000,Malawi
P168446,South Asia,Islamic  Republic of Afghanistan,PE,Development Policy Lending,L,Active,2019 Incentive Program Development Policy Operation,2019,100000000,Afghanistan
P169403,East Asia and Pacific,Republic of Indonesia,PE,Investment Project Financing,L,Active,Central Sulawesi Rehabilitation and Reconstruction Project,2019,150000000,Indonesia
P165463,Africa,Republic of Mozambique,PE,Investment Project Financing,L,Active,MZ - Additional Financing - Water Services and Institutional Support II,2019,75000000,Mozambique
P169031,Africa,Republic of Liberia,PE,Investment Project Financing,L,Active,Liberia Urban Water Supply Project Additional Financing,2019,30000000,Liberia
P165982,South Asia,Islamic Republic of Pakistan,PE,Investment Project Financing,L,Active,Pakistan Raises Revenue,2019,400000000,Pakistan
P162302,South Asia,Islamic Republic of Pakistan,PE,Program-for-Results Financing,L,Active,Khyber Pakhtunkhwa Revenue Mobilization and Public Resource Management,2019,118000000,Pakistan
P163896,East Asia and Pacific,Republic of Indonesia,PE,Investment Project Financing,L,Active,National Urban Development Project (NUDP),2019,49600000,Indonesia
P165056,Africa,Republic of Malawi,PE,Development Policy Lending,L,Active,MALAWI-Disaster Risk Management Development Policy Financing with Cat DDO,2019,70000000,Malawi
P162833,Latin America and Caribbean,Republic of Peru,PE,Investment Project Financing,L,Active,Improving the Performance of Non-Criminal Justice Services,2019,85000000,Peru
P161386,South Asia,Islamic Republic of Pakistan,PE,Investment Project Financing,L,Active,Higher Education Development in Pakistan,2019,400000000,Pakistan
P164330,Africa,Republic of Ghana,PE,Investment Project Financing,L,Active,Greater Accra Resilient and Integrated Development Project,2019,200000000,Ghana
P168481,Europe and Central Asia,Georgia,PE,Investment Project Financing,L,Active,Georgia I2Q - Innovation; Inclusion and Quality,2019,102700000,Georgia
P168204,Africa,Republic of Kenya,PE,Development Policy Lending,L,Active, Inclusive Growth and Fiscal Management Development Policy Financing,2019,750000000,Kenya
P159710,Latin America and Caribbean,Republic of Guatemala,PE,Development Policy Lending,L,Active,Guatemala DRM Development Policy Loan with CAT DDO II,2019,200000000,Guatemala
P166941,Europe and Central Asia,Ukraine,PE,Program-for-Results Financing,L,Active,Accelerating Private Investment in Agriculture Program,2019,200000000,Ukraine
P167297,East Asia and Pacific,Republic of Indonesia,PE,Development Policy Lending,L,Active,Indonesia Fiscal Reform DPL 3,2019,1000000000,Indonesia
P169117,Europe and Central Asia,Georgia,PE,Investment Project Financing,L,Active,Energy Supply Reliability and Financial Recovery,2019,70700000,Georgia
P170552,Europe and Central Asia,Georgia,GU,Investment Project Financing,L,Active,Energy Supply Reliability and Financial Recovery Guarantee,2019,50000000,Georgia
P164561,Africa,Republic of Mali,PE,Investment Project Financing,L,Active,Mali Deployment of State Resources for Better Service Delivery,2019,50000000,Mali
P161406,Africa,Republic of Mali,PE,Investment Project Financing,L,Active,Strengthening Climate Resilience in Mali Project,2019,8250000,Mali
P161777,Africa,Republic of Mozambique,PE,Investment Project Financing,L,Active,Mozambique Urban Sanitation Project,2019,115000000,Mozambique
P162858,Latin America and Caribbean,Republic of Colombia,PE,Development Policy Lending,L,Active,Second Fiscal Sustainability; Competitiveness; and Migration DPF,2019,718500000,Colombia
P165507,Latin America and Caribbean,Republic of Haiti,PE,Investment Project Financing,L,Active,HT - AF to Providing an Education of Quality in Haiti,2019,39000000,Haiti
P167512,Latin America and Caribbean,Republic of Haiti,PE,Investment Project Financing,L,Active,Strengthening Primary Health Care and Surveillance in Haiti,2019,55000000,Haiti
P165870,Latin America and Caribbean,Republic of Haiti,PE,Investment Project Financing,L,Active,Strengthening DRM and Climate Resilience Project,2019,35000000,Haiti
P167581,South Asia,Republic of India,PE,Investment Project Financing,L,Active,Andhra Pradesh Health Systems Strengthening Project,2019,328000000,India
P169514,Africa,Republic of Rwanda,RE,Program-for-Results Financing,L,Active,Rwanda - Additional Financing for the Transformation of Agriculture Sector Program 4 PforR Phase 2,2019,0,Rwanda
P164764,Africa,Republic of Zambia,PE,Investment Project Financing,L,Active,Transforming Landscapes for Resilience and Development in Zambia,2019,100000000,Zambia
P170241,Middle East and North Africa,Republic of Yemen,PE,Investment Project Financing,L,Active,Emergency Crisis Response Project Fourth Additional Financing,2019,200000000,Yemen
P167195,Middle East and North Africa,Republic of Yemen,PE,Investment Project Financing,L,Active,Yemen Emergency Health and Nutrition Project Third Additional Financing,2019,200000000,Yemen
P160157,Africa,Republic of Kenya,CN,Investment Project Financing,L,Active,KTDA Small Hydro Programme of Activities,2019,0,Kenya
P145468,Latin America and Caribbean,Republic of Haiti,RE,Investment Project Financing,L,Active,Improving Access to Social Services & Employment Opportunities for PWD,2019,0,Haiti
P163745,Africa,Republic of Ghana,RE,Investment Project Financing,L,Active,Additional Financing for Ghana Forest Investment Program (FIP) - Enhancing Natural Forest and Agroforest Landscapes Project,2019,0,Ghana
P162454,Middle East and North Africa,Republic of Iraq,PE,Investment Project Financing,L,Active,Iraq Electricity Services Reconstruction and Enhancement Project,2019,200000000,Iraq
P164130,Africa,Republic of Rwanda,PE,Investment Project Financing,L,Active,Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project,2019,60000000,Rwanda
P165034,Africa,Republic of Kenya,PE,Investment Project Financing,L,Active,Kenya Affordable Housing Finance Project,2019,250000000,Kenya
P152057,Latin America and Caribbean,Republic of Honduras,PE,Investment Project Financing,L,Active,Social Protection Integration,2019,30000000,Honduras
P164762,South Asia,Islamic  Republic of Afghanistan,PE,Investment Project Financing,L,Active,Afghanistan Land Administration System Project,2019,25000000,Afghanistan
P168266,South Asia,Islamic  Republic of Afghanistan,PE,Investment Project Financing,L,Active,Payments Automation and Integration of Salaries in Afghanistan (PAISA),2019,10000000,Afghanistan
P164101,Africa,Republic of Uganda,PE,Investment Project Financing,L,Active,Development Response to Displacement Impacts Project in the HoA,2019,150000000,Uganda
P169125,Latin America and Caribbean,Republic of El Salvador,PE,Investment Project Financing,L,Active,El Salvador Local Economic Resilience Project,2019,200000000,El Salvador
P160379,South Asia,Republic of India,PE,Investment Project Financing,L,Active,Innovation in Solar Power and Hybrid Technologies,2019,150000000,India
P165477,South Asia,People's Republic of Bangladesh,PE,Investment Project Financing,L,Active,Dhaka City Neighborhood Upgrading Project,2019,100500000,Bangladesh
P167523,South Asia,Republic of India,PE,Program-for-Results Financing,L,Active,Program Towards Elimination of Tuberculosis,2019,400000000,India
P157141,South Asia,Republic of India,PE,Investment Project Financing,L,Active,Rajasthan State Highways Development Program II,2019,250000000,India
P147864,South Asia,Republic of India,PE,Investment Project Financing,L,Active,Uttar Pradesh Core Road Network Development Project,2019,400000000,India
P165453,Africa,Republic of Mozambique,PE,Investment Project Financing,L,Active,Mozambique Energy For All (ProEnergia),2019,82000000,Mozambique
P169722,Africa,Republic of Liberia,RE,Investment Project Financing,L,Active,Liberia Youth Opportunities Project Additional Financing,2019,0,Liberia
P167886,South Asia,Republic of India,RE,Investment Project Financing,L,Active,India  SEWA 2025 Digital Financial Inclusion of Informal Sector,2019,0,India
P166373,South Asia,Republic of India,PE,Program-for-Results Financing,L,Active,Tamil Nadu Health System Reform Program,2019,287000000,India
P165534,Africa,Republic of Mali,PE,Investment Project Financing,L,Active,Mali - Accelerating Progress Towards Universal Health Coverage,2019,50000000,Mali
P166437,Africa,Republic of Mozambique,PE,Program-for-Results Financing,L,Active,Mozambique Disaster Risk Management and Resilience Program,2019,90000000,Mozambique
P162594,Latin America and Caribbean,Republic of Colombia,PE,Investment Project Financing,L,Active,Multipurpose Cadaster Project,2019,100000000,Colombia
P158864,Africa,Republic of Malawi,RE,Investment Project Financing,L,Active, Support to Integrated Household Survey Program: 2018-2020,2019,0,Malawi
P164223,Africa,Republic of Malawi,PE,Investment Project Financing,L,Active,Equity with Quality and Learning at Secondary (EQUALS),2019,90000000,Malawi
P166923,South Asia,Republic of India,PE,Investment Project Financing,L,Active,Uttarakhand Public Financial Management Strengthening Project,2019,31580000,India
P167762,South Asia,People's Republic of Bangladesh,PE,Investment Project Financing,L,Active,Emergency Multi-Sector Rohingya Crisis Response Project,2019,165000000,Bangladesh
P167216,East Asia and Pacific,Republic of Indonesia,RE,Investment Project Financing,L,Active,INDONESIA: IMPROVING TEACHER PERFORMANCE AND ACCOUNTABILITY (KIAT Guru) Phase 2,2019,0,Indonesia
P167491,South Asia,People's Republic of Bangladesh,PE,Program-for-Results Financing,L,Active,Bangladesh Strengthening PFM Program to Enable Service Delivery,2019,100000000,Bangladesh
P161869,South Asia,People's Republic of Bangladesh,PE,Investment Project Financing,L,Active,Bangladesh Scaling-up Renewable Energy Project,2019,156000000,Bangladesh
P166977,South Asia,Republic of India,PE,Investment Project Financing,L,Active,Dam Rehabilitation & Improvement Project - Restructuring and Additional Financing,2019,137000000,India
P168314,Africa,Republic of Mozambique,RE,Program-for-Results Financing,L,Active,Mozambique Primary Health Care Strengthening Additional Financing,2019,0,Mozambique
P168926,Africa,Republic of South Sudan,PE,Investment Project Financing,L,Active,South Sudan Provision of Essential Health Services Project,2019,105400000,South Sudan
P164058,South Asia,Republic of India,PE,Investment Project Financing,L,Active,Uttarakhand Disaster Recovery Project Additional Financing,2019,96000000,India
P166578,South Asia,Republic of India,PE,Program-for-Results Financing,L,Active,Chhattisgarh Public Financial Management and Accountability Program,2019,25200000,India
P162886,Africa,Republic of Ghana,RE,Investment Project Financing,L,Active, AF - Ghana: Public Financial Management Reform Project - Additional Financing,2019,0,Ghana
P164524,Africa,Republic of Mozambique,CN,,L,Active,MZ Zambezia Emissions Reductions Payment,2019,0,Mozambique
P168734,Africa,Republic of Zimbabwe,RE,Investment Project Financing,L,Active,Zimbabwe Health Sector Development Support Project IV - AF,2019,0,Zimbabwe
P163255,Latin America and Caribbean,Republic of Peru,PE,Investment Project Financing,L,Active,Peru Integrated Health Networks,2019,125000000,Peru
P167064,Other,World,RE,Investment Project Financing,L,Active,HIV Vaccine Research and Development,2019,0,World
P167246,South Asia,Republic of India,PE,Development Policy Lending,L,Active,Shimla Water Supply and Sewerage Service Delivery Reform Programmatic Development Policy Loan 1,2019,40000000,India
P160945,Africa,Republic of Liberia,PE,Investment Project Financing,L,Active,Smallholder Agriculture Transformation and Agribusiness Revitalization Project (STAR-P),2019,25000000,Liberia
P168762,Other,World,RE,Investment Project Financing,L,Active,Implementation of the International Comparison Program (ICP) in Latin America & the Caribbean,2019,0,World
P163023,Latin America and Caribbean,Republic of Peru,RE,Investment Project Financing,L,Active,Integrated Forest Landscape Management Project in Atalaya; Ucayali,2019,0,Peru
P162354,Africa,Republic of Senegal,PE,Investment Project Financing,L,Active,Senegal - Additional Financing to the Social Safety Net Project,2019,57000000,Senegal
P160619,South Asia,Islamic  Republic of Afghanistan,PE,Investment Project Financing,L,Active,Cities Investment Program,2018,25000000,Afghanistan
P166127,South Asia,Islamic  Republic of Afghanistan,PE,Investment Project Financing,L,Active,Afghanistan: Eshteghal Zaiee - Karmondena (EZ-Kar) Project,2018,150000000,Afghanistan
P166978,South Asia,Islamic  Republic of Afghanistan,PE,Investment Project Financing,L,Active,Tackling Afghanistan&#8217;s Government HRM and Institutional Reforms,2018,25000000,Afghanistan
P164771,Africa,Republic of Malawi,PE,Investment Project Financing,L,Active,Investing in Early Years for Growth and Productivity in Malawi,2018,50000000,Malawi
P165412,Africa,Republic of Liberia,GU,Investment Project Financing,L,Active,Liberia South Eastern Corridor Road Asset Managment Guarantee Project,2018,48000000,Liberia
P164414,Europe and Central Asia,Ukraine,GU,Development Policy Lending,L,Active,Ukraine Policy Based Guarantee,2018,750000000,Ukraine
P149279,Africa,Republic of Liberia,PE,Investment Project Financing,L,Active,Southeastern Corridor Road Asset Management Project,2018,29000000,Liberia
P164525,Africa,Republic of Senegal,PE,Development Policy Lending,L,Active,Senegal Second Multi-Sectoral Structural Reform DPF,2018,180000000,Senegal
P164564,Middle East and North Africa,Republic of Yemen,PE,Investment Project Financing,L,Active,Yemen Emergency Crisis Response Project - Third Additional Financing,2018,140000000,Yemen
P166107,Africa,Republic of Mozambique,PE,Investment Project Financing,L,Active,Mozambique: Financial Inclusion and Stability Project,2018,40000000,Mozambique
P167190,South Asia,People's Republic of Bangladesh,PE,Development Policy Lending,L,Closed,Bangladesh Jobs Programmatic DPC,2018,250000000,Bangladesh
P158502,South Asia,Republic of India,PE,Investment Project Financing,L,Active,Jharkhand Municipal Development Project,2018,147000000,India
P161246,South Asia,People's Republic of Bangladesh,PE,Investment Project Financing,L,Active,Livestock and Dairy Development Project,2018,500000000,Bangladesh
P164551,Africa,Republic of Mozambique,PE,Investment Project Financing,L,Active,Mozambique Land Administration Project (Terra Segura),2018,100000000,Mozambique
P165649,Africa,Republic of Rwanda,PE,Investment Project Financing,L,Active,Rwanda Housing Finance Project,2018,150000000,Rwanda
P164654,Africa,Republic of Kenya,PE,Investment Project Financing,L,Active,Kenya Social and Economic Inclusion Project,2018,250000000,Kenya
P166907,Africa,Republic of Ghana,PE,Investment Project Financing,L,Active,Land Administration Phase 2 Additional Financing,2018,35000000,Ghana
P167681,Africa,Republic of Senegal,PE,Investment Project Financing,L,Active,Improving Youth Employability Through Informal Apprenticeship,2018,53000000,Senegal
P166458,Africa,Republic of Rwanda,PE,Development Policy Lending,L,Active,Second Rwanda Energy Sector Development Policy Operation,2018,125000000,Rwanda
P168274,South Asia,Islamic  Republic of Afghanistan,RE,Investment Project Financing,L,Closed,Afghanistan: Fiscal Stability Facility,2018,0,Afghanistan
